PREC = 1500, tol = 6.920204e-310
order = 4, lambda = 3.54409035955192285361596598660480454058309984544457367545781253030584294285886301225625856642489179996260899277589974545704537650729751905223146817637447928464560949852755537179889159077448053517459045482470711286876373464332114219211465412771169565934544669549411924727100000409480552542925972401110012866875143607064166969339310061199923409664597323422476443639154794410718331803802488512620422107565464513898750258677417630190446728942574617409807091e+00 
order = 8, lambda = 3.56440726609543259777355758652898245065773473837900855774147633518233200429442264152583171210834221687045742543870891160836447956555748307392484177591631465552482727261416970816614555799081918854477832251827768140613518596356869745710889189844054460128993798806786335205320373534953657200772265265525637557460770752571459311701749718432877720577680800690791463060278201731235411370589803018949519902798218493360628382648174023402765087905649953367848809e+00 
order = 16, lambda = 3.56875941954382643129821028002531537035699383958078207940683195508004097662051293767904596668126993155767154476537717299300100245813605722585532315290088629075411106925278282622711782302998212334040367456039664166693145368559300093720272666252407333651202463534488681608052605024859163156331102812805192226830153554759250666013434794434395853770922830568990898455217093511131455694818300761181579714514653161402582058921506773467277491950020328614802728e+00 
order = 32, lambda = 3.56969160980139671428826870629546660718657040829151781541732630347815583531786463632632016570428592553607563504106143455839056970651442690324065974393511341771906890421033424955837032719298176406013805353723023999285012092976197479120489996498287638359279169036182186806808077662207132543830687057804829539069781857802667180923909632956258573137904634295015040735870714548944182902513395322723926837188710592918057176476058131137035564275195989114226363e+00 
order = 64, lambda = 3.56989125937812048732027120058544938979582512337441780403327473455357977610203555757443778520842637878972509446904251883215986009300887402941272425743872884959126463321263544383007954595642621708892504208193792859974610971432959780282759085634477878100829828135048968620193925361564867591457821137622593681800205542697039089002910589538466929407124770031731256574392742608517525009208201331516946406814948010554545616559434866969658790596658817397425476e+00 
order = 128, lambda = 3.56993401837397640118485560188719137121928301200062290768034159634187596832862023927070246947196228208299337538415306400388546427061169090719532715401103167412603125890508545602264508414331632974949981582404801535986308846583855444359243060000450981031066826257276479784822271129257834093187888940972026897116483083182795035213148136025230988626566224149753160863981535309039975713271616728495608075302677802214160220825940793690113155125711083995863988e+00 
order = 256, lambda = 3.56994317604840163635444297616231774954080666564062030611837851859777209950730971430058971379927743314633623536424853112907503713573895265520769108533339058837895177472003245809509805129389983650683779540392783946121541044085205673794306650840100232369998230959852729389548586724637579552346968128797438077140054401200300317302124591744318661046641802594756630967540877928144419104752059708556084614126846436700406387055356038983030818506779519409624828e+00 
order = 512, lambda = 3.56994513734216979431472112274953091869132418785026388930118570105161070723440503720233281774948619988838135449457432045451789327394404979097998319377364415283403119556960219814647968021974815682576283964987644175811218996378533788271299631089438477903495291335311581246021084457742702049776362943877291316014093584122656443923459867288701356208654955240206329317544038512233594731460626201386663861542426517432639531169657572573965384610034839272341882e+00 
order = 1024, lambda = 3.56994555739124937611716994175620838011446395742974699701509254841204164475140937551230974417961092521670476850821398310310238763279744651736336114673751461069312878638963439904574575727034108551965398722209335342099006147966061472691945327445414460252513174767617633392606217114941764625211415924951427076185606157366739364416383402031576898315978186576251467473460896697590867311122372078949341412344908924610159069515647641919458756745549576002083292e+00 
order = 2048, lambda = 3.56994564735289979134350665376033672215937988990389898980942575644019753489789868140891662580522512021295617748508442683985282401164154666120051026924741318565529005518172602022626681079162803266064515978092676594707178889272930809612032036498789639419411543952857950691438785477182497101598215489219993918646760305027140294418154983288207472989540218874750723264531644975099310197275595404484611618647307387060367981609747509910872156738675140986128344e+00 
order = 4096, lambda = 3.56994566661993045219394370115113364346899845783748287442977172867777206811274551024130883876480231573314385223710146742152668518682650722277678852371199110932530935342627451627619030267485375485478161215412585382270776911421358537886209966939242087591012449696712424425547975688588843039119001708092962964749105791198466056501491692946185482845453527628849965354639815756533464839907123575894137630442325958113195775519611669870420193660367449936597681e+00 
order = 8192, lambda = 3.56994567074633840814496716196761457288538220359142067925408253709697330992950502791415653200727839302240718234503301421369259304227618520647943650520515128322735750295350853829806710734141259323554105992758479949146575779678843634584349432906470787546610269428663450668489461255170806755071265382407762534859738594821937879673323008384547240729357670707476793936827085908469125988894671276811046216167998638913811162309613987051889497573646700057589058e+00 
order = 16384, lambda = 3.56994567163008862964341529154614805624893639731770323985250136615496603242104072041176285135479716846198747573165185053697889350753157849093371812864264900465236272614235691379793584140965569725096841192740079839381422513056453944493653108675983773072004476047955999319044714419170411555996592314509286069535634623366976048421981720659269682879439617285700788513174026850745338230949831493127815523803006414502000246882285947542565725452628255592302918e+00 
order = 32768, lambda = 3.5699456718193608640635302435488345850536714403071658465353887745986170096949365119457652359849752989071341121720170214148687433488878526683935790191225436609422312037178029426110014058075007624013464356650834859328895030891045677571406226125774748365000863198623895482772129208201731719349307979874576648380093921889609551079599050246209460411229535953316235548158692156567026110639507300162516665334205336736010428087538559483459234717471637993589542e+00 
order = 65536, lambda = 3.56994567185989718060462283472804480955993858456043641005515260783995825892558306819419247899461019691393503841928185716876699741256863864849871003523588934661366952528703915618306655392423932524114806261601624461789403964976890075750501785414321909339441430253100629189904275819211864021484296183238328936793354969462674522961603018823758193119648734194863576853893703557677006808463060741548221345595561862414218853879717861808150303337065212768622378e+00 
