PREC = 750, tol = 6.917171e-310
order = 4, lambda = 3.5440903595519228536159659866048045405830998454445736754578125303058429428588630122562585664248917999626089927758997454570453765072975190522314681763744792846456094985275553717988915907744805351745904548247071128687637346433216e+00 
order = 8, lambda = 3.5644072660954325977735575865289824506577347383790085577414763351823320042944226415258317121083422168704574254387089116083644795655574830739248417759163146555248272726141697081661455579908191885447783225182776814061351859635676e+00 
order = 16, lambda = 3.5687594195438264312982102800253153703569938395807820794068319550800409766205129376790459666812699315576715447653771729930010024581360572258553231529008862907541110692527828262271178230299821233404036745603966416669314536855933e+00 
order = 32, lambda = 3.5696916098013967142882687062954666071865704082915178154173263034781558353178646363263201657042859255360756350410614345583905697065144269032406597439351134177190689042103342495583703271929817640601380535372302399928501209297658e+00 
order = 64, lambda = 3.5698912593781204873202712005854493897958251233744178040332747345535797761020355575744377852084263787897250944690425188321598600930088740294127242574387288495912646332126354438300795459564262170889250420819379285997461097143287e+00 
order = 128, lambda = 3.5699340183739764011848556018871913712192830120006229076803415963418759683286202392707024694719622820829933753841530640038854642706116909071953271540110316741260312589050854560226450841433163297494998158240480153598630884658438e+00 
order = 256, lambda = 3.5699431760484016363544429761623177495408066656406203061183785185977720995073097143005897137992774331463362353642485311290750371357389526552076910853333905883789517747200324580950980512938998365068377954039278394612154104408428e+00 
order = 512, lambda = 3.5699451373421697943147211227495309186913241878502638893011857010516107072344050372023328177494861998883813544945743204545178932739440497909799831937736441528340311955696021981464796802197481568257628396498764417581121899637904e+00 
order = 1024, lambda = 3.5699455573912493761171699417562083801144639574297469970150925484120416447514093755123097441796109252167047685082139831031023876327974465173633611467375146106931287863896343990457457572703410855196539872220933534209900614796492e+00 
order = 2048, lambda = 3.5699456473528997913435066537603367221593798899038989898094257564401975348978986814089166258052251202129561774850844268398528240116415466612005102692474131856552900551817260202262668107916280326606451597809267659470717888927391e+00 
order = 4096, lambda = 3.5699456666199304521939437011511336434689984578374828744297717286777720681127455102413088387648023157331438522371014674215266851868265072227767885237119911093253093534262745162761903026748537548547816121541258538227077691142217e+00 
order = 8192, lambda = 3.5699456707463384081449671619676145728853822035914206792540825370969733099295050279141565320072783930224071823450330142136925930422761852064794365052051512832273575029535085382980671073414125932355410599275847994914657577968474e+00 
order = 16384, lambda = 3.5699456716300886296434152915461480562489363973177032398525013661549660324210407204117628513547971684619874757316518505369788935075315784909337181286426490046523627261423569137979358414096556972509684119274007983938142251305274e+00 
order = 32768, lambda = 3.5699456718193608640635302435488345850536714403071658465353887745986170096949365119457652359849752989071341121720170214148687433488878526683935790191225436609422312037178029426110014058075007624013464356650834859328895030891874e+00 
order = 65536, lambda = 3.5699456718598971806046228347280448095599385845604364100551526078399582589255830681941924789946101969139350384192818571687669974125686386484987100352358893466136695252870391561830665539242393252411480626160162446178940396497172e+00 
order = 131072, lambda = 3.5699456718685788182666364326919574061497171543911562165141986889484715577439152352607083800464993387289958732085191453546745834381237514593298333157750191440951300819321993323400115927880437467397561156031767449988770963443372e+00 
