PREC = 1000, tol = 6.931480e-310
order = 4, lambda = 3.54409035955192285361596598660480454058309984544457367545781253030584294285886301225625856642489179996260899277589974545704537650729751905223146817637447928464560949852755537179889159077448053517459045482470711286876373464332114219211465412771169565934544669549411924727100000409480552542925972401110068e+00 
order = 8, lambda = 3.56440726609543259777355758652898245065773473837900855774147633518233200429442264152583171210834221687045742543870891160836447956555748307392484177591631465552482727261416970816614555799081918854477832251827768140613518596356869745710889189844054460128993798806786335205320373534953657200772265265525609e+00 
order = 16, lambda = 3.56875941954382643129821028002531537035699383958078207940683195508004097662051293767904596668126993155767154476537717299300100245813605722585532315290088629075411106925278282622711782302998212334040367456039664166693145368559300093720272666252407333651202463534488681608052605024859163156331102812805255e+00 
order = 32, lambda = 3.5696916098013967142882687062954666071865704082915178154173263034781558353178646363263201657042859255360756350410614345583905697065144269032406597439351134177190689042103342495583703271929817640601380535372302399928501209297619747912048999649828763835927916903618218680680807766220713254383068705780484e+00 
order = 64, lambda = 3.56989125937812048732027120058544938979582512337441780403327473455357977610203555757443778520842637878972509446904251883215986009300887402941272425743872884959126463321263544383007954595642621708892504208193792859974610971432959780282759085634477878100829828135048968620193925361564867591457821137622414e+00 
order = 128, lambda = 3.56993401837397640118485560188719137121928301200062290768034159634187596832862023927070246947196228208299337538415306400388546427061169090719532715401103167412603125890508545602264508414331632974949981582404801535986308846583855444359243060000450981031066826257276479784822271129257834093187888940971749e+00 
order = 256, lambda = 3.56994317604840163635444297616231774954080666564062030611837851859777209950730971430058971379927743314633623536424853112907503713573895265520769108533339058837895177472003245809509805129389983650683779540392783946121541044085205673794306650840100232369998230959852729389548586724637579552346968128797605e+00 
order = 512, lambda = 3.56994513734216979431472112274953091869132418785026388930118570105161070723440503720233281774948619988838135449457432045451789327394404979097998319377364415283403119556960219814647968021974815682576283964987644175811218996378533788271299631089438477903495291335311581246021084457742702049776362943877162e+00 
order = 1024, lambda = 3.56994555739124937611716994175620838011446395742974699701509254841204164475140937551230974417961092521670476850821398310310238763279744651736336114673751461069312878638963439904574575727034108551965398722209335342099006147966061472691945327445414460252513174767617633392606217114941764625211415924951424e+00 
order = 2048, lambda = 3.56994564735289979134350665376033672215937988990389898980942575644019753489789868140891662580522512021295617748508442683985282401164154666120051026924741318565529005518172602022626681079162803266064515978092676594707178889272930809612032036498789639419411543952857950691438785477182497101598215489221721e+00 
order = 4096, lambda = 3.56994566661993045219394370115113364346899845783748287442977172867777206811274551024130883876480231573314385223710146742152668518682650722277678852371199110932530935342627451627619030267485375485478161215412585382270776911421358537886209966939242087591012449696712424425547975688588843039119001708090487e+00 
order = 8192, lambda = 3.56994567074633840814496716196761457288538220359142067925408253709697330992950502791415653200727839302240718234503301421369259304227618520647943650520515128322735750295350853829806710734141259323554105992758479949146575779678843634584349432906470787546610269428663450668489461255170806755071265382405704e+00 
order = 16384, lambda = 3.56994567163008862964341529154614805624893639731770323985250136615496603242104072041176285135479716846198747573165185053697889350753157849093371812864264900465236272614235691379793584140965569725096841192740079839381422513056453944493653108675983773072004476047955999319044714419170411555996592314510139e+00 
order = 32768, lambda = 3.569945671819360864063530243548834585053671440307165846535388774598617009694936511945765235984975298907134112172017021414868743348887852668393579019122543660942231203717802942611001405807500762401346435665083485932889503089104567757140622612577474836500086319862389548277212920820173171934930797987487e+00 
order = 65536, lambda = 3.56994567185989718060462283472804480955993858456043641005515260783995825892558306819419247899461019691393503841928185716876699741256863864849871003523588934661366952528703915618306655392423932524114806261601624461789403964976890075750501785414321909339441430253100629189904275819211864021484296183234604e+00 
