PREC = 200, tol = 6.943395e-310
order = 4, lambda = 3.5440903595519228536159659866048045405830998454445736754578145e+00 
order = 8, lambda = 3.5644072660954325977735575865289824506577347383790085577414734e+00 
order = 16, lambda = 3.5687594195438264312982102800253153703569938395807820794068374e+00 
order = 32, lambda = 3.5696916098013967142882687062954666071865704082915178154173504e+00 
order = 64, lambda = 3.569891259378120487320271200585449389795825123374417804033268e+00 
order = 128, lambda = 3.5699340183739764011848556018871913712192830120006229076803468e+00 
order = 256, lambda = 3.5699431760484016363544429761623177495408066656406203061183655e+00 
order = 512, lambda = 3.5699451373421697943147211227495309186913241878502638893011697e+00 
order = 1024, lambda = 3.5699455573912493761171699417562083801144639574297469970150902e+00 
order = 2048, lambda = 3.5699456473528997913435066537603367221593798899038989898094144e+00 
order = 4096, lambda = 3.5699456666199304521939437011511336434689984578374828744297759e+00 
order = 8192, lambda = 3.5699456707463384081449671619676145728853822035914206792542505e+00 
order = 16384, lambda = 3.569945671630088629643415291546148056248936397317703239852577e+00 
order = 32768, lambda = 3.5699456718193608640635302435488345850536714403071658465356294e+00 
order = 65536, lambda = 3.5699456718598971806046228347280448095599385845604364100554558e+00 
